 INDX YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC   ANN
  ZN  1925   -24   9  12  16  12 -42  -8 -23  36 -11  26  24    2.3
  ZN  1926     2  34  -4  21  31  -5  -9   0  18   2  18 -18    7.5
  ZN  1927    -2   4  21  18  -7 -29  -3  -3 -16  11  18 -19   -0.6
  ZN  1928   -27  -9 -28   8   2 -31 -17  -7  35  12 -19 -25   -8.8
  ZN  1929     3  16  -4 -34 -52  20   3 -13   1 -33  -3  23   -6.1
  ZN  1930    11 -19   1 -11   2   7 -13 -27 -19   9  34  -8   -2.8
  ZN  1931    41  18   6  -2  -9   3  25  15 -12  12  13 -12    8.2
  ZN  1932    18 -17 -31 -10 -20  20 -19 -20 -48 -16   9 -19  -12.8
  ZN  1933    -4  25   1  35   1 -16 -24  -7 -21  -1 -22  -1   -2.8
  ZN  1934    15 -18   2   6  -8 -19   3  -4 -14  -4 -21 -31   -7.8
  ZN  1935    16 -24 -19  -4  -8   8 -35  21 -52   3 -10 -22  -10.5
  ZN  1936   -15 -13  -2  -4 -15 -13   7  16  16   2 -12 -13   -3.8
  ZN  1937    12  16   1  -6   0 -31  -2 -31 -14 -35   0 -15   -8.8
  ZN  1938   -20 -16  -3 -28  -5 -11 -40 -19 -12  12 -12  23  -10.9
  ZN  1939    31  12 -17 -22 -10  11   7  11  -5 -29  -8 -12   -2.6
  ZN  1940    17  64   5 -11   0   7 -22 -26  -7  -5 -11   2    1.1
  ZN  1941    -5  16 -12  13   2  -5 -15 -22  -5 -14  23   1   -1.9
  ZN  1942    12  -4   6  20  -2 -24   5 -14  17  -3   4   3    1.7
  ZN  1943    -2  34  19   2 -35   3  -2 -29   3 -25 -29  -9   -5.8
  ZN  1944   -11   1 -18  22 -25  26  -3  -9  10  -2  24  25    3.3
  ZN  1945    -9  -7  32  35   3 -16  -7   2 -12   6  28  18    6.1
  ZN  1946    30  14 -17 -12 -26 -30  16  30  11  11  12  19    4.8
  ZN  1947     7  -5 -23 -17 -13  22 -11  13  18   5 -10 -16   -2.5
  ZN  1948    -3   1  14   3  14 -13  15  -9   6  17  -9  17    4.4
  ZN  1949    -6  32   9  16 -29  11  43  -3   0  10 -20  18    6.8
  ZN  1950     5  15   5 -12 -28  -1  -9 -11 -21 -45 -26  -1  -10.8
  ZN  1951   -23  -9 -19   0 -16 -21   9 -18   4   2  37  15   -3.3
  ZN  1952    31 -18  15   8  28  34  -3 -51 -20  -8  -2 -25   -0.9
  ZN  1953   -20  10  13  19  -2 -17   9 -17  11 -14  25   3    1.7
  ZN  1954    -5  17  -2 -12 -20  16  12  -7 -15  -9   0 -17   -3.5
  ZN  1955     4  18 -22   0   4  -6 -33  10 -10 -12  10 -32   -5.8
