,CEI
2010-10-01,-3.8793914176873745
2010-11-01,-3.8715372321813444
2010-12-01,-4.102226230167578
2011-01-01,-4.125226135345633
2011-02-01,-4.174851998287726
2011-03-01,-3.890624408680387
2011-04-01,-3.816518506096581
2011-05-01,-3.00998959738811
2011-06-01,-1.9728753884075232
2011-07-01,-1.4327827226699632
2011-08-01,-1.3659733436730856
2011-09-01,-1.6613791763249262
2011-10-01,-1.6439149786855713
2011-11-01,-2.106054990125866
2011-12-01,-2.696784558455347
2012-01-01,-2.7752211897624752
2012-02-01,-2.423840540893409
2012-03-01,-1.7217848390550845
2012-04-01,-1.1120110145559983
2012-05-01,-0.8057614705029984
2012-06-01,-0.06157661570357409
2012-07-01,0.10190271633158701
2012-08-01,0.4399544431478539
2012-09-01,0.2740018308648471
2012-10-01,0.22487220166728095
2012-11-01,0.018436278137333673
2012-12-01,0.17643587939206729
2013-01-01,0.09540063000519934
2013-02-01,0.09588155553476169
2013-03-01,-0.7371480391641085
2013-04-01,-0.9496534300055932
2013-05-01,-1.4567776325313428
2013-06-01,-1.5891771244267001
2013-07-01,-1.7999139073059731
2013-08-01,-1.4950263722729047
2013-09-01,-0.9418521569526308
2013-10-01,-0.5302575544580874
2013-11-01,-0.6935723303071125
2013-12-01,-0.5601159989621427
2014-01-01,-1.0343326649754963
2014-02-01,-0.8374487048370455
2014-03-01,-0.4986134778561723
2014-04-01,-0.3450475143730258
2014-05-01,-0.4819215025108191
2014-06-01,-0.6949205110951255
2014-07-01,-0.1218840790858694
2014-08-01,0.5277568178403479
2014-09-01,0.924837878257443
2014-10-01,1.085132962220094
2014-11-01,1.2325991048080676
2014-12-01,1.3034110045090772
2015-01-01,1.4407119703894051
2015-02-01,1.0541181439706278
2015-03-01,1.1231899258090015
2015-04-01,0.8849076085736023
2015-05-01,1.4283498267271626
2015-06-01,1.6903343581355392
2015-07-01,2.5059698192743856
2015-08-01,3.0642268604398577
2015-09-01,3.726697922571627
2015-10-01,4.158623188734616
2015-11-01,4.0787547805040205
2015-12-01,4.008152001059329
2016-01-01,4.132476756130423
2016-02-01,4.499985411418754
2016-03-01,4.031718725652589
2016-04-01,3.488878476926903
2016-05-01,2.1811013439189644
2016-06-01,1.196732701423651
2016-07-01,-0.16222716261090664
2016-08-01,-0.7685953756216044
2016-09-01,-1.249771180067817
2016-10-01,-1.2031514179854272
2016-11-01,-1.0502703064847725
2016-12-01,-0.6972804786726245
2017-01-01,-0.8270730876849192
2017-02-01,-0.7224583792380738
2017-03-01,-0.7495074466234795
2017-04-01,-0.3682161129455243
2017-05-01,-0.29391363398134207
2017-06-01,0.49276961392333485
2017-07-01,0.14237102324483858
2017-08-01,-0.009533185562020263
2017-09-01,-0.6879188278473698
2017-10-01,-0.9389831985547553
2017-11-01,-1.4239450365432416
2017-12-01,-1.4483540963126422
2018-01-01,-1.5847019216877567
2018-02-01,-1.1352407640563367
2018-03-01,-1.736928143677793
2018-04-01,-1.5248200078298284
2018-05-01,-1.6459827493462833
2018-06-01,-0.7996781158004402
2018-07-01,-0.4439625932544416
2018-08-01,0.10043407121341534
2018-09-01,0.607959746873538
2018-10-01,0.7925369463352736
2018-11-01,0.8463202228091782
2018-12-01,0.2952685149224802
2019-01-01,0.5888788584030171
2019-02-01,0.997424969323956
2019-03-01,1.4189873598995273
2019-04-01,1.2976984229801907
2019-05-01,1.1028559835534621
2019-06-01,1.2490536313016845
2019-07-01,1.4325173237753221
2019-08-01,1.0718413211293056
2019-09-01,1.104637161946444
2019-10-01,1.0265917654269556
2019-11-01,1.3044665240118283
2019-12-01,1.058551449814737
2020-01-01,0.9820406367978083
2020-02-01,0.7534991394854011
2020-03-01,0.6075614206319419
2020-04-01,0.5580431540602916
2020-05-01,0.14986640307341192
2020-06-01,0.14359585053062865
2020-07-01,-0.12060416885953337
2020-08-01,-0.6287829872448354
2020-09-01,-1.5365489615593275
2020-10-01,-1.7838283224973452
