,Year,Month,soi3m,nino5m,CEI,category,code
2007-02-01,2007,2,-0.36660045533085667,0.8895301167107906,1.2561305720416474,NINO3.4 NINO,1.0
2007-03-01,2007,3,-0.1621374703582288,0.6833989722198538,0.8455364425780826,NINO3.4 NINO,1.0
2007-04-01,2007,4,0.0782124940119849,0.38259727150191103,0.3043847774899261,Neutral,0.0
2007-05-01,2007,5,0.12270995639040522,0.020547425747848472,-0.10216253064255675,Neutral,0.0
2007-06-01,2007,6,0.3804336878347663,-0.19433345374824504,-0.5747671415830113,Neutral,0.0
2007-07-01,2007,7,0.20944921583793624,-0.3378764036977632,-0.5473256195356995,Neutral,0.0
2007-08-01,2007,8,0.4055740590616306,-0.4701471725145079,-0.8757212315761385,Neutral,0.0
2007-09-01,2007,9,0.10364911224742371,-0.6847915726861389,-0.7884406849335626,NINO3.4 NINA,-1.0
2007-10-01,2007,10,0.5149084786396062,-0.9215073764743904,-1.4364158551139967,NINO3.4 NINA,-1.0
2007-11-01,2007,11,0.6119887925897483,-1.2139534743946094,-1.8259422669843577,NINO3.4 NINA,-1.0
2007-12-01,2007,12,1.093891483871808,-1.4699029299059165,-2.5637944137777247,CEI NINA,-3.0
2008-01-01,2008,1,1.3377448817128488,-1.7059881221622688,-3.0437330038751176,CEI NINA,-3.0
2008-02-01,2008,2,1.7282779371135004,-1.834711701112059,-3.5629896382255595,CEI NINA,-3.0
2008-03-01,2008,3,1.7631108270147318,-1.7901747616713797,-3.553285588686111,CEI NINA,-3.0
2008-04-01,2008,4,1.4893099165568533,-1.6534897121313132,-3.1427996286881665,CEI NINA,-3.0
2008-05-01,2008,5,0.7755971868686414,-1.4574483521508343,-2.233045539019476,NINO3.4 NINA,-1.0
2008-06-01,2008,6,0.5289737216587154,-1.1875466164961608,-1.7165203381548761,NINO3.4 NINA,-1.0
2008-07-01,2008,7,0.439326743485528,-0.839212571560998,-1.278539315046526,NINO3.4 NINA,-1.0
2008-08-01,2008,8,0.9035224592144275,-0.5907516279910424,-1.4942740872054698,NINO3.4 NINA,-1.0
2008-09-01,2008,9,1.0705087912905948,-0.44358266173307587,-1.5140914530236707,SOI NINA,-2.0
2008-10-01,2008,10,1.4739890078068087,-0.3444978247827465,-1.8184868325895551,SOI NINA,-2.0
